title,overview
Avatar,A paraplegic Marine dispatched to the moon Pandora.
Titanic,A young couple fall in love aboard the Titanic.
The Dark Knight,Batman fights the Joker in Gotham City.
Iron Man,A billionaire builds a powerful armored suit.
Avengers,Earth's mightiest heroes unite to save the world.
Doctor Strange,A surgeon becomes the Sorcerer Supreme.
Thor,The God of Thunder protects Asgard and Earth.
Captain America,A super soldier fights during World War II.
Black Panther,The king of Wakanda protects his nation.
Spider-Man,A teenager gains spider-like powers.
